income,credit_score,loan_amount,employment_length_years,loan_status,loan_to_income
52418.02,540,15000.0,0,1,0.286155674028244
67413.44,540,25000.0,15,1,0.37084043121918686
63498.28,693,20000.0,23,1,0.3149642011688952
21948.84,628,5000.0,35,0,0.22779209324532662
30166.06,482,5000.0,10,1,0.1657436952755754
44300.8,698,20000.0,25,0,0.45144892532583325
65207.32,506,10000.0,5,0,0.1533546639447236
27241.46,664,25000.0,25,1,0.9176851136057463
32487.3,674,20000.0,28,1,0.6156062336287217
18698.51,739,15000.0,0,1,0.8021600566004137
17716.93,828,15000.0,8,1,0.8466000260752808
59131.29,514,20000.0,26,1,0.3382246823182393
81940.12,645,25000.0,6,1,0.305097123397874
34779.87,622,5000.0,2,0,0.14375718606233828
66311.57,693,5000.0,8,1,0.0754004859108914
45115.52,672,10000.0,1,1,0.22164830088845505
24659.76,615,25000.0,9,1,1.013756267041243
45109.01,606,15000.0,16,1,0.3325204317179269
91383.66,538,15000.0,30,0,0.1641413340050726
35543.21,749,10000.0,0,1,0.28133977376343433
92854.24,696,15000.0,17,0,0.16154177190215652
7541.32,742,10000.0,5,1,1.3258519924903744
59464.9,619,10000.0,37,0,0.16816360300609257
38262.6,584,20000.0,3,1,0.5226899716702036
30351.33,542,5000.0,39,0,0.16473199915789002
38370.97,686,25000.0,3,1,0.6515172403189099
11019.91,546,25000.0,34,1,2.2684152216105566
31831.03,835,5000.0,3,0,0.15707449383529734
44993.24,519,25000.0,0,1,0.5556266757700542
88144.82,677,15000.0,30,0,0.170172561784552
26609.88,807,15000.0,18,0,0.5636792169218003
22357.2,710,25000.0,20,1,1.1181579912515318
26874.84,668,20000.0,29,1,0.7441627870980032
62896.22,553,25000.0,6,1,0.39747384701581406
44234.07,512,10000.0,4,0,0.22606497514302565
26427.06,727,10000.0,1,1,0.378385700653018
49412.59,801,5000.0,2,1,0.10118673830417908
38493.57,606,15000.0,14,0,0.3896653476061689
36271.225,536,20000.0,38,1,0.5513860812233052
23831.61,404,25000.0,36,1,1.048982885214838
29833.96,552,10000.0,9,1,0.33517725513960805
28702.37,639,15000.0,8,1,0.5225867206533589
15091.56,810,15000.0,22,1,0.9938671769401612
43376.46,717,20000.0,13,1,0.46106895147848675
42473.4,681,20000.0,32,1,0.47087186634772943
36427.09,610,20000.0,15,1,0.549026863609923
31547.44,592,20000.0,19,1,0.633945767207507
15533.86,791,10000.0,7,1,0.643713557766211
28215.11,670,20000.0,37,1,0.7088149287765039
29565.73,440,15000.0,33,0,0.5073269854326129
22440.75,583,15000.0,30,1,0.6683970724208228
32965.89,564,25000.0,7,1,0.758336621986484
46278.4,595,15000.0,24,0,0.3241182902111955
97148.71499999998,706,15000.0,12,0,0.15440086468601583
40325.8,639,10000.0,17,1,0.2479740519951992
42384.17,642,15000.0,33,1,0.3538973655172316
34729.07,781,5000.0,35,0,0.14396746105032326
11484.31,580,15000.0,16,1,1.3060161197216271
35742.35,836,25000.0,11,1,0.6994308032123459
37651.88,583,25000.0,15,1,0.6639598352104806
97148.71499999998,659,20000.0,12,0,0.20586781958135444
32356.93,622,10000.0,10,1,0.30904325462104654
43517.93,662,25000.0,13,1,0.5744626533786561
35566.98,694,5000.0,27,1,0.1405758775168002
18011.99,693,5000.0,23,1,0.27757745937792666
72091.66,575,20000.0,16,0,0.2774207526813409
57020.14,538,10000.0,8,1,0.17537355443963415
58373.61,850,10000.0,29,0,0.17130735434463717
21043.93,602,15000.0,36,1,0.7127607456997956
84261.18,720,5000.0,2,1,0.059338602442994
15660.38,489,5000.0,7,1,0.3192566683140311
51643.22,622,5000.0,17,0,0.09681625552675595
97148.71499999998,637,5000.0,29,0,0.05146695489533861
20043.86,697,25000.0,2,1,1.2472025247370149
25854.02,378,10000.0,33,0,0.3867720852662268
38553.06,667,15000.0,27,1,0.38906408300448775
26847.14,535,25000.0,36,1,0.9311632016221608
14322.71,682,10000.0,24,1,0.6981431486674892
37840.6,546,20000.0,29,0,0.528518878694347
19199.08,564,5000.0,6,1,0.26041558160174333
48250.21,623,15000.0,28,0,0.31087303302860175
20917.58,545,10000.0,1,1,0.478043920763264
92038.35,602,20000.0,25,1,0.21729836205927136
22698.36,531,5000.0,6,0,0.2202705274509942
29934.38,467,20000.0,17,1,0.6681057664876812
59166.47,752,20000.0,5,0,0.33802357951083595
17352.32,520,25000.0,39,1,1.4406465160557174
41625.82,632,20000.0,26,1,0.48045947300322245
79561.51,725,25000.0,23,0,0.31421834228206225
13842.66,589,25000.0,32,1,1.8058808147556356
40569.84,567,20000.0,30,1,0.49296489794147724
42443.53,673,10000.0,33,0,0.23560161933705004
58051.96,762,20000.0,21,1,0.3445130101893168
17289.07,533,20000.0,23,1,1.156733315712429
16444.17,635,10000.0,35,1,0.6080812785760197
49670.42,477,5000.0,27,1,0.10066150716045566
43398.96,611,15000.0,19,1,0.3456224383616944
42205.07,653,5000.0,17,0,0.11846637225403835
44706.26,565,20000.0,31,0,0.44735463546636495
24148.68,604,5000.0,32,0,0.2070420808888565
41745.72,509,15000.0,9,1,0.35930966552581856
43297.21,658,5000.0,8,1,0.11547821491927726
23656.4,756,15000.0,24,1,0.6340510791549366
97148.71499999998,540,5000.0,12,0,0.05146695489533861
48257.17,588,25000.0,4,0,0.5180469959801626
17769.13,700,20000.0,30,1,1.1254841692210467
53848.63,771,15000.0,30,0,0.2785534459568246
20235.44,501,20000.0,33,1,0.9883161267495667
58235.52,633,25000.0,25,1,0.42928389265017897
72777.15,678,5000.0,6,1,0.06870193870000818
22194.3,640,20000.0,19,1,0.9010916725613081
64732.95,402,5000.0,21,0,0.07723922300431227
46521.44,700,5000.0,4,0,0.10747501635769749
59470.53,802,20000.0,11,1,0.33629536687554534
97148.71499999998,662,15000.0,20,0,0.15440086468601583
31343.65,547,15000.0,8,1,0.4785505660455612
23103.94,599,20000.0,28,0,0.8656157514367058
21296.36,827,15000.0,26,0,0.7043126472013432
22259.27,741,10000.0,16,1,0.44923084940119773
34673.78,714,5000.0,39,0,0.14419702158167982
44564.43,686,20000.0,23,1,0.4487783468037894
42873.73,584,25000.0,26,0,0.5830940509712831
59653.61,630,20000.0,7,1,0.3352632763838369
36599.91,642,20000.0,28,0,0.5464345012186855
86865.87,705,5000.0,18,1,0.05755934339524378
30983.37,801,25000.0,9,1,0.8068584257159336
97148.71499999998,762,5000.0,23,0,0.05146695489533861
52859.91,508,15000.0,33,0,0.2837635598781784
21713.85,672,20000.0,39,1,0.9210286969516254
19100.4,724,5000.0,30,0,0.26176091804789176
48507.97,712,10000.0,3,1,0.2061474403599994
31758.71,587,20000.0,30,0,0.6297286719557578
55737.05,850,15000.0,8,1,0.2691159809142946
48239.94,522,5000.0,25,0,0.10364640490007035
34762.78,542,5000.0,12,1,0.14382785761502345
21849.29,673,10000.0,25,1,0.45765982968647095
14633.84,850,15000.0,0,1,1.0249514173028198
27780.54,566,10000.0,39,0,0.3599512482029434
60708.52,623,20000.0,8,0,0.3294376236214683
41293.33,758,25000.0,30,0,0.6054099921224052
17198.14,648,5000.0,23,0,0.29071221002910613
40292.01,617,10000.0,21,1,0.24818200476956176
45761.13,707,5000.0,8,1,0.10926064848817134
21368.76,677,5000.0,38,0,0.23397548685619307
39824.4,753,10000.0,22,1,0.251096034189236
37606.24,779,5000.0,19,0,0.1329531228561309
18291.98,681,15000.0,20,1,0.8199866834162614
36271.225,679,15000.0,26,0,0.4135395609174789
50841.63,671,25000.0,4,0,0.49171335157130935
69552.06,699,15000.0,16,0,0.2156626897508176
68342.1,656,10000.0,33,1,0.1463205502823255
15889.26,650,15000.0,8,1,0.9439744849989868
20687.91,770,25000.0,33,1,1.208376855039729
49465.03,802,20000.0,9,0,0.4043178722852835
49427.96,499,20000.0,1,1,0.4046210966202809
49465.39,651,10000.0,24,0,0.2021574648968724
97148.71499999998,581,25000.0,2,0,0.25733477447669306
51150.85,619,15000.0,33,1,0.2932445258578136
71778.44,690,25000.0,6,0,0.3482891479788641
64369.88,717,5000.0,27,0,0.07767487410456406
53682.09,639,25000.0,8,1,0.4656959947722831
30056.63,459,15000.0,10,1,0.4990413415828194
57261.37,553,10000.0,28,0,0.1746347557741672
22840.83,740,5000.0,15,0,0.21889664707249812
31505.23,376,25000.0,38,1,0.7934938581988388
27140.49,769,20000.0,28,0,0.7368792207060113
38144.03,702,15000.0,12,0,0.3932360257679703
97148.71499999998,782,10000.0,34,0,0.10293390979067722
11844.76,630,15000.0,10,1,1.2662758657950186
54817.03,444,25000.0,34,1,0.4560543310294077
13799.26,693,10000.0,7,1,0.7246240288226453
27360.1,777,20000.0,6,1,0.7309647638435589
69798.68,742,5000.0,4,0,0.07163356622838386
37743.48,584,25000.0,5,1,0.6623485076493304
19022.03,659,10000.0,34,1,0.5256786116617594
23642.89,597,5000.0,29,0,0.21147112425239672
54598.33,568,10000.0,10,1,0.18315243062506445
23430.18,746,25000.0,37,1,1.0669543744702572
41351.96,530,10000.0,26,1,0.24182065806172037
37322.18,561,20000.0,20,1,0.5358600205020044
24564.06,540,10000.0,13,1,0.4070822542261244
97148.71499999998,501,25000.0,34,0,0.25733477447669306
53122.26,665,10000.0,28,1,0.18824145957909963
10774.25,766,5000.0,23,0,0.4640263566970604
40614.18,632,5000.0,35,1,0.12310668080259647
24414.39,499,15000.0,31,1,0.6143665941850611
60564.25,734,15000.0,5,0,0.2476667726130083
22572.5,819,20000.0,9,1,0.8859946397324296
33899.59,585,5000.0,19,1,0.14749005843261137
49167.71,602,15000.0,19,1,0.30507206717442864
61050.28,702,10000.0,25,0,0.16379672956897873
17673.51,812,20000.0,20,1,1.1315730959443855
29711.79,598,25000.0,22,1,0.8413885064310689
27310.67,517,15000.0,11,1,0.54921577479517
24538.59,713,15000.0,12,1,0.6112571562931572
97148.71499999998,730,5000.0,9,0,0.05146695489533861
46304.25,651,20000.0,6,1,0.4319164673552135
17042.57,594,5000.0,36,0,0.29336576785262714
62989.11,749,5000.0,11,1,0.0793775403789579
97148.71499999998,703,20000.0,24,0,0.20586781958135444
67472.75,573,10000.0,1,1,0.14820578373071008
14594.18,655,15000.0,39,1,1.0277365541226624
27158.89,515,5000.0,25,1,0.18409500185751856
77663.97,719,15000.0,39,0,0.19313726638920997
23751.44,624,20000.0,4,1,0.8420187568098267
47395.93,606,10000.0,7,1,0.21098412914085363
57802.1,647,25000.0,8,0,0.43250275504254965
20823.59,654,10000.0,38,0,0.4802015309785211
35041.38,739,20000.0,19,1,0.5707374898622753
5193.9,709,10000.0,10,1,1.9249648693911336
19640.86,634,25000.0,39,1,1.2727918842716524
31208.92,726,5000.0,21,0,0.1602054731316197
17177.06,690,10000.0,15,1,0.5821379131287234
96707.55,607,20000.0,37,1,0.2068069472657795
15396.8,638,10000.0,9,1,0.6494434269830756
27888.6,635,25000.0,24,1,0.8963914864322186
39278.96,701,20000.0,18,1,0.5091654879485621
86229.19,613,10000.0,3,0,0.1159686648028956
15344.04,611,20000.0,18,1,1.3033527446002096
72976.9,847,25000.0,2,0,0.342569462809974
36539.16,744,5000.0,16,1,0.13683574456160016
20152.73,574,25000.0,13,1,1.2404651645129712
47918.75,707,5000.0,9,1,0.10434111196323019
40922.52,662,15000.0,5,1,0.36653738485838955
25333.17,689,25000.0,30,1,0.9868095145805054
37868.74,664,5000.0,30,0,0.1320315375811928
28819.62,769,15000.0,8,1,0.5204606979308565
38875.15,685,15000.0,11,1,0.38584067609575534
54029.12,644,15000.0,25,0,0.27762292587912074
94052.66,754,20000.0,1,1,0.2126445690683382
17280.1,673,25000.0,3,1,1.4466671681779517
97148.71499999998,662,25000.0,31,0,0.25733477447669306
11257.02,681,25000.0,27,1,2.220639153243643
33154.34,641,25000.0,5,1,0.7540263499032133
51688.49,651,20000.0,29,0,0.3869258528184356
42984.51,591,25000.0,27,1,0.5815913315905755
24993.73,575,5000.0,12,1,0.20004216888920184
32052.38,550,15000.0,35,0,0.4679693685970091
27016.4,511,20000.0,9,0,0.7402636819235011
25498.66,562,20000.0,9,0,0.7843241831459714
60461.45,633,25000.0,4,1,0.41347977132914726
44990.62,660,15000.0,28,0,0.33339541896913244
23962.71,623,5000.0,35,0,0.20864882774829108
62302.69,414,15000.0,11,0,0.24075620561157773
43668.39,807,10000.0,21,1,0.22899335209399535
59143.22,759,15000.0,38,1,0.2536173441800399
52985.7,695,5000.0,1,0,0.0943633024891152
22083.88,841,5000.0,13,1,0.2263992378496057
25949.08,552,5000.0,9,0,0.19267763336375068
56861.64,839,20000.0,2,1,0.35172478801547025
52376.96,553,20000.0,7,1,0.38183999529573126
35862.92,674,10000.0,16,1,0.2788317618375236
38964.12,523,15000.0,3,0,0.3849596767570586
78166.69,651,25000.0,20,0,0.31982523725595574
25464.92,689,10000.0,29,0,0.39268167024792355
50425.81,635,25000.0,18,1,0.495768024985122
32166.62,721,25000.0,14,1,0.7771790390460966
36271.225,660,10000.0,19,0,0.2756930406116526
70211.41,598,15000.0,29,0,0.21363744671347984
59590.4,593,25000.0,9,1,0.41952362253613773
59166.2,731,20000.0,22,1,0.3380251220270691
79482.11,585,20000.0,23,1,0.25162578565433585
36776.06,742,10000.0,11,0,0.2719086299992441
54675.54,772,25000.0,8,1,0.4572344921606232
30146.98,483,10000.0,14,1,0.33169718170172596
44112.56,763,20000.0,28,1,0.4533753340242774
33587.67,850,10000.0,17,0,0.2977194393228431
38491.69,675,25000.0,19,1,0.6494739650567419
51901.05,710,25000.0,0,1,0.48167654264137927
22227.1,754,20000.0,2,1,0.8997620129475754
97148.71499999998,622,5000.0,7,0,0.05146695489533861
19858.54,668,5000.0,38,0,0.2517681678427597
17526.81,519,15000.0,30,1,0.8557828958666256
72755.99,664,20000.0,7,1,0.2748876774588943
58395.7,700,15000.0,14,0,0.2568638296342088
52810.85,702,20000.0,21,0,0.37870288581066563
52944.91,757,25000.0,31,1,0.47218000408341265
36049.63,573,20000.0,4,1,0.5547753257016591
21197.69,597,10000.0,8,1,0.4717272623921573
38005.37,840,15000.0,14,1,0.3946706828355352
24190.2,635,20000.0,36,1,0.8267469162340024
65190.68,670,15000.0,32,0,0.23009071096188963
33248.52,643,20000.0,21,1,0.6015124428863936
22130.27,568,5000.0,10,1,0.22592467580938644
29946.52,812,15000.0,5,1,0.5008761994315389
46525.64,597,25000.0,16,1,0.5373265724754678
25893.97,537,25000.0,4,1,0.9654384616008437
22173.82,605,20000.0,38,1,0.9019238938579884
42033.09,450,25000.0,8,1,0.5947553521439385
42065.36,585,25000.0,28,1,0.5942991026558989
26791.34,553,15000.0,22,0,0.5598615126562293
27374.77,712,20000.0,35,0,0.7305730578537152
41740.62,583,15000.0,30,1,0.3593535660570912
15231.93,739,20000.0,19,1,1.312945047341516
15607.73,790,25000.0,22,1,1.6016677846307803
23598.38,728,20000.0,6,1,0.8474798914208763
31950.14,628,20000.0,35,1,0.6259557561952406
43763.02,664,10000.0,3,1,0.22849820468960577
88010.7,498,20000.0,23,1,0.22724251434752427
60754.46,637,10000.0,13,0,0.1645942603347913
32992.54,564,15000.0,24,0,0.4546344526837678
35903.51,719,10000.0,6,1,0.27851654290784084
19900.15,850,15000.0,14,0,0.7537252872321448
35914.35,700,20000.0,12,1,0.5568649616389649
30540.37,451,15000.0,18,1,0.4911371035418516
44074.26,614,25000.0,11,1,0.5672116284736607
22107.26,662,20000.0,25,1,0.9046392615248781
49593.15,659,10000.0,32,1,0.20163668497191706
91093.65,577,5000.0,14,0,0.05488796542936386
34021.36,675,20000.0,36,1,0.5878486971509325
46213.49,526,25000.0,5,0,0.5409558776911744
54944.91,556,15000.0,24,1,0.27299575164011297
28545.87,715,10000.0,16,1,0.35030110131163245
41541.8,548,10000.0,35,0,0.2407155993336992
36590.92,704,25000.0,8,1,0.683210938371094
38507.4,513,25000.0,27,1,0.6492090037498311
22838.3,826,20000.0,34,1,0.8756835804950239
36853.51,573,5000.0,2,0,0.13566860609461365
48961.96,628,5000.0,10,0,0.10211800920532582
86741.37,683,15000.0,19,0,0.17292587232744505
64573.7,593,10000.0,22,1,0.15485941088382912
97148.71499999998,664,20000.0,29,0,0.20586781958135444
22916.02,708,10000.0,36,0,0.43635690853348297
61291.25,746,20000.0,35,0,0.32630552802352664
40538.41,729,25000.0,11,0,0.6166838639240185
97148.71499999998,633,15000.0,35,0,0.15440086468601583
22359.82,635,25000.0,34,1,1.1180269775437575
21942.2,850,10000.0,33,0,0.45572204600969773
25345.7,745,15000.0,3,1,0.5917930144752571
10154.4,558,20000.0,23,1,1.969395592492664
26490.65,660,20000.0,35,1,0.7549548631361203
23029.25,616,15000.0,27,1,0.6513172892174423
39744.88,636,25000.0,38,1,0.6289960116620893
44580.58,527,15000.0,1,1,0.3364618301998269
97148.71499999998,609,25000.0,4,0,0.25733477447669306
64231.84,831,15000.0,27,1,0.2335254053845354
25690.02,708,25000.0,12,1,0.9731026638880045
21182.94,401,5000.0,35,1,0.23602785884023464
48783.7,772,15000.0,8,1,0.30747344966762125
16446.37,759,25000.0,38,1,1.5199998540800141
97148.71499999998,614,10000.0,29,0,0.10293390979067722
73693.07,722,10000.0,26,0,0.13569612860302055
27405.38,564,15000.0,12,1,0.5473178143191476
12992.39,603,15000.0,38,1,1.1544331386959061
81823.8,800,20000.0,27,0,0.2444246732042119
33903.59,623,25000.0,17,1,0.7373632891593734
76319.96,463,15000.0,33,0,0.1965384083219079
13951.52,644,10000.0,20,0,0.7167164067852976
25345.97,642,10000.0,0,1,0.39452447373394134
36429.94,770,10000.0,22,0,0.2744919565621968
37353.74,651,25000.0,33,0,0.6692591087503219
27721.42,608,5000.0,35,0,0.18035943471024538
52770.62,755,15000.0,8,1,0.28424369007432404
19137.93,662,5000.0,7,1,0.2612476246059733
33341.97,575,25000.0,29,0,0.7497832376659908
39033.57,765,15000.0,35,0,0.3842747595272601
49447.33,669,20000.0,35,0,0.4044625976246316
55657.32,650,15000.0,17,0,0.26950148692953724
18494.24,668,15000.0,1,1,0.8110194839320819
14465.64,543,15000.0,10,1,1.036868270724923
78167.25,597,15000.0,35,0,0.19189376761025095
44328.74,650,15000.0,30,1,0.338373290707322
23176.82,631,25000.0,30,1,1.0786174023268797
92105.61,777,15000.0,23,1,0.16285476145523106
38925.5,672,25000.0,20,1,0.6422360088885464
73686.75,735,15000.0,31,0,0.2035616503421532
37816.89,651,15000.0,29,0,0.3966376759782209
97148.71499999998,756,25000.0,7,0,0.25733477447669306
97148.71499999998,690,15000.0,32,0,0.15440086468601583
31276.48,651,10000.0,38,1,0.31971885203027867
65052.02,649,15000.0,0,0,0.2305811475009154
53488.69,555,20000.0,32,1,0.3739038308130034
82551.61,701,25000.0,12,0,0.302837184675324
20354.27,646,15000.0,21,1,0.7369099009740475
54810.16,600,15000.0,4,1,0.27366689557382107
68531.91,761,25000.0,11,0,0.364788245530505
12641.7,525,5000.0,28,0,0.3954851416232292
17855.11,608,10000.0,2,1,0.560032392273569
10683.55,753,10000.0,35,1,0.9359308534285488
30895.19,682,15000.0,10,1,0.4854967554251835
55855.62,645,25000.0,25,0,0.44757452205307086
89448.13,675,20000.0,1,0,0.22359077164864544
37966.4,668,15000.0,28,0,0.39507577553374734
96487.56,498,10000.0,28,1,0.1036392293552728
15866.09,615,15000.0,35,1,0.9453529286088376
13068.64,812,25000.0,18,1,1.912830039695049
35125.1,584,20000.0,9,1,0.569377186764258
45726.77,618,5000.0,10,0,0.10934274730650544
35610.05,596,20000.0,6,1,0.5616234286829509
10504.24,641,15000.0,12,1,1.4278588590075048
34424.64,592,10000.0,1,0,0.2904811646203237
16602.66,699,25000.0,29,1,1.5056921184847196
54274.16,670,15000.0,21,0,0.27636952152697475
45250.05,727,5000.0,0,1,0.1104946736042589
20662.43,545,25000.0,26,1,1.2098669001225837
26680.28,616,25000.0,6,1,0.9369865313808033
19234.71,627,25000.0,0,1,1.2996660897882117
34975.13,696,15000.0,24,1,0.42886391376061334
64413.94,571,5000.0,3,1,0.0776217442723691
20101.79,742,15000.0,29,1,0.7461650845479657
49139.96,769,25000.0,7,0,0.5087405699847948
26419.18,551,25000.0,20,1,0.9462463919625075
22567.73,601,10000.0,3,1,0.4430909492913425
34056.69,597,20000.0,3,1,0.5872388878987388
19513.36,850,15000.0,7,1,0.7686647166496877
26050.97,607,5000.0,25,1,0.19192406562728268
17699.17,818,25000.0,28,1,1.412415812955469
97148.71499999998,523,15000.0,15,1,0.15440086468601583
37092.06,551,20000.0,18,1,0.5391844188643374
23864.92,581,15000.0,0,1,0.6285112830345531
41290.51,565,20000.0,36,0,0.4843610708351426
33948.61,623,15000.0,33,0,0.44183129055090764
31806.25,579,10000.0,28,1,0.3143937309890041
52496.41,568,15000.0,26,0,0.2857283816477803
57211.18,766,10000.0,29,0,0.1747879559911893
26415.32,772,20000.0,5,1,0.7571077273443084
25706.75,745,25000.0,35,1,0.9724693915259017
30790.73,702,25000.0,38,1,0.8119063138056875
9125.68,659,15000.0,1,1,1.643533026248318
14630.82,600,5000.0,13,1,0.34172098891320424
82464.61,555,15000.0,7,0,0.1818940040581765
97148.71499999998,686,10000.0,2,0,0.10293390979067722
31275.13,533,10000.0,34,0,0.31973265234541487
51325.05,551,20000.0,26,0,0.3896656765911267
43772.02,765,15000.0,33,0,0.34267683609675553
97148.71499999998,840,20000.0,27,0,0.20586781958135444
71093.06,689,5000.0,30,0,0.07032936366273075
33632.54,761,25000.0,16,1,0.743305640738382
20469.18,625,25000.0,18,1,1.2212887234015528
13851.27,516,15000.0,10,1,1.082855012210995
41030.8,711,20000.0,8,1,0.48742682504788964
23067.72,707,20000.0,29,1,0.8669748473257294
15469.84,657,5000.0,5,1,0.3231886568537972
24638.27,626,20000.0,13,1,0.811712359984691
18978.67,746,10000.0,30,1,0.5268795505928185
97148.71499999998,551,10000.0,10,0,0.10293390979067722
61634.92,573,10000.0,4,1,0.1622430556727311
36142.2,549,15000.0,30,0,0.41501582593682906
88253.31,658,10000.0,1,0,0.11330891375163435
38041.04,541,10000.0,38,0,0.26286708073489223
21660.15,582,25000.0,16,1,1.1541400156501385
90569.65,579,15000.0,37,0,0.16561656563136073
50178.71,624,10000.0,35,0,0.19928373440181302
19489.91,501,5000.0,2,1,0.2565298387812575
32396.21,659,10000.0,28,0,0.30866855510088675
21474.66,775,15000.0,32,1,0.698465146123565
15840.42,664,20000.0,13,1,1.2625130827918205
63304.17,804,25000.0,37,0,0.3949124534378472
97148.71499999998,783,25000.0,28,0,0.25733477447669306
15691.26,728,15000.0,22,1,0.9558852580826471
50908.31,657,10000.0,16,1,0.19642772608782166
24578.18,652,5000.0,10,0,0.20342419885447766
27111.81,726,10000.0,27,0,0.3688293467183962
25452.36,611,10000.0,6,1,0.39287543962761695
21625.0,462,5000.0,39,0,0.23120318135577544
37388.3,699,25000.0,7,1,0.6686404934031929
22057.98,537,10000.0,28,1,0.4533301177116984
42713.66,554,20000.0,24,1,0.4682233219227309
35237.18,650,20000.0,6,1,0.5675662023407565
31465.0,640,15000.0,21,1,0.47670501493675715
21066.97,509,15000.0,8,1,0.7119812682474865
25692.06,667,5000.0,10,0,0.19460508012669567
57138.57,747,5000.0,33,0,0.08750503372706515
49047.79,537,15000.0,26,1,0.3058179416862271
20200.59,777,10000.0,21,1,0.4950105412494759
38545.68,494,25000.0,2,1,0.6485642862109007
57001.47,850,20000.0,39,1,0.3508619889629344
13337.79,609,5000.0,7,1,0.37484659403139264
50312.87,665,15000.0,5,1,0.29812852797846795
24402.13,461,20000.0,24,1,0.8195669981678579
51141.89,644,5000.0,1,1,0.09776530031838247
22972.3,673,5000.0,15,1,0.21764396059773738
12296.51,641,10000.0,20,1,0.8131727479790624
13677.05,594,5000.0,14,0,0.3655491828148018
37378.5,555,25000.0,33,1,0.6688157947538089
42439.44,763,5000.0,19,1,0.11781216217362496
21108.06,653,25000.0,30,1,1.1843255928970782
53271.43,804,10000.0,14,0,0.18771435806476258
13401.04,597,25000.0,27,1,1.8653876574014103
34903.84,607,20000.0,5,1,0.5729864397029181
17560.2,732,5000.0,2,1,0.2847185841514247
24560.59,488,15000.0,37,1,0.6107096486831675
37363.11,529,15000.0,22,0,0.401454765013806
21671.47,760,25000.0,2,1,1.1535371833482755
28832.74,533,10000.0,7,1,0.34681591774081333
66421.47,468,25000.0,1,0,0.3763786561987231
25690.2,837,25000.0,6,1,0.9730958460484523
59958.94,511,25000.0,16,1,0.41694504697636453
18438.13,668,20000.0,6,1,1.0846498723095936
49905.3,657,20000.0,32,0,0.4007510073878448
86244.47,369,25000.0,35,0,0.2898702969558865
8242.12,623,10000.0,3,1,1.2131328914294586
22513.33,695,5000.0,15,1,0.22208078144008725
51340.91,685,15000.0,20,0,0.2921589788926824
32150.16,740,20000.0,17,1,0.6220615368154679
45373.68,611,5000.0,27,1,0.11019361458857671
25275.96,721,20000.0,15,1,0.7912343889455061
38252.11,581,20000.0,21,1,0.5228333068866818
33077.01,509,20000.0,5,1,0.6046312943251423
73179.4,520,25000.0,29,1,0.34162152707555576
42304.66,504,25000.0,27,1,0.5909374773966415
44469.62,751,20000.0,16,1,0.4497351284960722
28363.94,499,20000.0,35,1,0.7050957978405736
