income,credit_score,loan_amount,employment_length_years,loan_status
17352.32,520,25000,39,1
41625.82,632,20000,26,1
79561.51,725,25000,23,0
13842.66,589,25000,32,1
40569.84,567,20000,30,1
42443.53,673,10000,33,0
58051.96,762,20000,21,1
17289.07,533,20000,23,1
16444.17,635,10000,35,1
49670.42,477,5000,27,1
43398.96,611,15000,19,1
42205.07,653,5000,17,0
44706.26,565,20000,31,0
24148.68,604,5000,32,0
41745.72,509,15000,9,1
43297.21,658,5000,8,1
23656.4,756,15000,24,1
111242.16,540,5000,12,0
48257.17,588,25000,4,0
17769.13,700,20000,30,1
53848.63,771,15000,30,0
20235.44,501,20000,33,1
58235.52,633,25000,25,1
72777.15,678,5000,6,1
22194.3,640,20000,19,1
64732.95,402,5000,21,0
46521.44,700,5000,4,0
59470.53,802,20000,11,1
113331.88,662,15000,20,0
31343.65,547,15000,8,1
23103.94,599,20000,28,0
21296.36,827,15000,26,0
22259.27,741,10000,16,1
34673.78,714,5000,39,0
44564.43,686,20000,23,1
42873.73,584,25000,26,0
59653.61,630,20000,7,1
36599.91,642,20000,28,0
86865.87,705,5000,18,1
30983.37,801,25000,9,1
185739.7,762,5000,23,0
52859.91,508,15000,33,0
21713.85,672,20000,39,1
19100.4,724,5000,30,0
48507.97,712,10000,3,1
31758.71,587,20000,30,0
55737.05,850,15000,8,1
48239.94,522,5000,25,0
34762.78,542,5000,12,1
21849.29,673,10000,25,1
14633.84,850,15000,0,1
27780.54,566,10000,39,0
60708.52,623,20000,8,0
41293.33,758,25000,30,0
17198.14,648,5000,23,0
40292.01,617,10000,21,1
45761.13,707,5000,8,1
21368.76,677,5000,38,0
39824.4,753,10000,22,1
37606.24,779,5000,19,0
18291.98,681,15000,20,1
,679,15000,26,0
50841.63,671,25000,4,0
69552.06,699,15000,16,0
68342.1,656,10000,33,1
15889.26,650,15000,8,1
20687.91,770,25000,33,1
49465.03,802,20000,9,0
49427.96,499,20000,1,1
49465.39,651,10000,24,0
366457.89,581,25000,2,0
51150.85,619,15000,33,1
71778.44,690,25000,6,0
64369.88,717,5000,27,0
53682.09,639,25000,8,1
30056.63,459,15000,10,1
57261.37,553,10000,28,0
22840.83,740,5000,15,0
31505.23,376,25000,38,1
27140.49,769,20000,28,0
38144.03,702,15000,12,0
145625.73,782,10000,34,0
11844.76,630,15000,10,1
54817.03,444,25000,34,1
13799.26,693,10000,7,1
27360.1,777,20000,6,1
69798.68,742,5000,4,0
37743.48,584,25000,5,1
19022.03,659,10000,34,1
23642.89,597,5000,29,0
54598.33,568,10000,10,1
23430.18,746,25000,37,1
41351.96,530,10000,26,1
37322.18,561,20000,20,1
24564.06,540,10000,13,1
131447.98,501,25000,34,0
53122.26,665,10000,28,1
10774.25,766,5000,23,0
40614.18,632,5000,35,1
24414.39,499,15000,31,1
60564.25,734,15000,5,0
22572.5,819,20000,9,1
33899.59,585,5000,19,1
49167.71,602,15000,19,1
61050.28,702,10000,25,0
17673.51,812,20000,20,1
29711.79,598,25000,22,1
27310.67,517,15000,11,1
24538.59,713,15000,12,1
104743.79,730,5000,9,0
46304.25,651,20000,6,1
17042.57,594,5000,36,0
62989.11,749,5000,11,1
129740.78,703,20000,24,0
67472.75,573,10000,1,1
14594.18,655,15000,39,1
27158.89,515,5000,25,1
77663.97,719,15000,39,0
23751.44,624,20000,4,1
47395.93,606,10000,7,1
57802.1,647,25000,8,0
20823.59,654,10000,38,0
35041.38,739,20000,19,1
5193.9,709,10000,10,1
19640.86,634,25000,39,1
31208.92,726,5000,21,0
17177.06,690,10000,15,1
96707.55,607,20000,37,1
15396.8,638,10000,9,1
27888.6,635,25000,24,1
39278.96,701,20000,18,1
86229.19,613,10000,3,0
15344.04,611,20000,18,1
72976.9,847,25000,2,0
36539.16,744,5000,16,1
20152.73,574,25000,13,1
47918.75,707,5000,9,1
40922.52,662,15000,5,1
25333.17,689,25000,30,1
37868.74,664,5000,30,0
28819.62,769,15000,8,1
38875.15,685,15000,11,1
54029.12,644,15000,25,0
94052.66,754,20000,1,1
17280.1,673,25000,3,1
130590.27,662,25000,31,0
11257.02,681,25000,27,1
33154.34,641,25000,5,1
51688.49,651,20000,29,0
42984.51,591,25000,27,1
24993.73,575,5000,12,1
32052.38,550,15000,35,0
27016.4,511,20000,9,0
25498.66,562,20000,9,0
60461.45,633,25000,4,1
44990.62,660,15000,28,0
23962.71,623,5000,35,0
62302.69,414,15000,11,0
43668.39,807,10000,21,1
59143.22,759,15000,38,1
52985.7,695,5000,1,0
22083.88,841,5000,13,1
25949.08,552,5000,9,0
56861.64,839,20000,2,1
52376.96,553,20000,7,1
35862.92,674,10000,16,1
38964.12,523,15000,3,0
78166.69,651,25000,20,0
25464.92,689,10000,29,0
50425.81,635,25000,18,1
32166.62,721,25000,14,1
,660,10000,19,0
70211.41,598,15000,29,0
59590.4,593,25000,9,1
59166.2,731,20000,22,1
79482.11,585,20000,23,1
36776.06,742,10000,11,0
54675.54,772,25000,8,1
30146.98,483,10000,14,1
44112.56,763,20000,28,1
33587.67,850,10000,17,0
38491.69,675,25000,19,1
51901.05,710,25000,0,1
22227.1,754,20000,2,1
127444.0,622,5000,7,0
19858.54,668,5000,38,0
17526.81,519,15000,30,1
72755.99,664,20000,7,1
58395.7,700,15000,14,0
52810.85,702,20000,21,0
52944.91,757,25000,31,1
36049.63,573,20000,4,1
21197.69,597,10000,8,1
38005.37,840,15000,14,1
24190.2,635,20000,36,1
65190.68,670,15000,32,0
33248.52,643,20000,21,1
22130.27,568,5000,10,1
29946.52,812,15000,5,1
46525.64,597,25000,16,1
25893.97,537,25000,4,1
22173.82,605,20000,38,1
42033.09,450,25000,8,1
42065.36,585,25000,28,1
26791.34,553,15000,22,0
27374.77,712,20000,35,0
41740.62,583,15000,30,1
15231.93,739,20000,19,1
15607.73,790,25000,22,1
23598.38,728,20000,6,1
31950.14,628,20000,35,1
43763.02,664,10000,3,1
88010.7,498,20000,23,1
60754.46,637,10000,13,0
32992.54,564,15000,24,0
35903.51,719,10000,6,1
19900.15,850,15000,14,0
35914.35,700,20000,12,1
30540.37,451,15000,18,1
44074.26,614,25000,11,1
22107.26,662,20000,25,1
49593.15,659,10000,32,1
91093.65,577,5000,14,0
34021.36,675,20000,36,1
46213.49,526,25000,5,0
54944.91,556,15000,24,1
28545.87,715,10000,16,1
41541.8,548,10000,35,0
36590.92,704,25000,8,1
38507.4,513,25000,27,1
22838.3,826,20000,34,1
36853.51,573,5000,2,0
48961.96,628,5000,10,0
86741.37,683,15000,19,0
64573.7,593,10000,22,1
132178.62,664,20000,29,0
22916.02,708,10000,36,0
61291.25,746,20000,35,0
40538.41,729,25000,11,0
135115.03,633,15000,35,0
22359.82,635,25000,34,1
21942.2,850,10000,33,0
25345.7,745,15000,3,1
10154.4,558,20000,23,1
26490.65,660,20000,35,1
23029.25,616,15000,27,1
39744.88,636,25000,38,1
44580.58,527,15000,1,1
111938.23,609,25000,4,0
64231.84,831,15000,27,1
25690.02,708,25000,12,1
21182.94,401,5000,35,1
48783.7,772,15000,8,1
16446.37,759,25000,38,1
108975.16,614,10000,29,0
73693.07,722,10000,26,0
27405.38,564,15000,12,1
12992.39,603,15000,38,1
81823.8,800,20000,27,0
33903.59,623,25000,17,1
76319.96,463,15000,33,0
13951.52,644,10000,20,0
25345.97,642,10000,0,1
36429.94,770,10000,22,0
37353.74,651,25000,33,0
27721.42,608,5000,35,0
52770.62,755,15000,8,1
19137.93,662,5000,7,1
33341.97,575,25000,29,0
39033.57,765,15000,35,0
49447.33,669,20000,35,0
55657.32,650,15000,17,0
18494.24,668,15000,1,1
14465.64,543,15000,10,1
78167.25,597,15000,35,0
44328.74,650,15000,30,1
23176.82,631,25000,30,1
92105.61,777,15000,23,1
38925.5,672,25000,20,1
73686.75,735,15000,31,0
37816.89,651,15000,29,0
125047.48,756,25000,7,0
104110.12,690,15000,32,0
31276.48,651,10000,38,1
65052.02,649,15000,0,0
53488.69,555,20000,32,1
82551.61,701,25000,12,0
20354.27,646,15000,21,1
54810.16,600,15000,4,1
68531.91,761,25000,11,0
12641.7,525,5000,28,0
17855.11,608,10000,2,1
10683.55,753,10000,35,1
30895.19,682,15000,10,1
55855.62,645,25000,25,0
89448.13,675,20000,1,0
37966.4,668,15000,28,0
96487.56,498,10000,28,1
15866.09,615,15000,35,1
13068.64,812,25000,18,1
35125.1,584,20000,9,1
45726.77,618,5000,10,0
35610.05,596,20000,6,1
10504.24,641,15000,12,1
34424.64,592,10000,1,0
16602.66,699,25000,29,1
54274.16,670,15000,21,0
45250.05,727,5000,0,1
20662.43,545,25000,26,1
26680.28,616,25000,6,1
19234.71,627,25000,0,1
34975.13,696,15000,24,1
64413.94,571,5000,3,1
20101.79,742,15000,29,1
49139.96,769,25000,7,0
26419.18,551,25000,20,1
22567.73,601,10000,3,1
34056.69,597,20000,3,1
19513.36,850,15000,7,1
26050.97,607,5000,25,1
17699.17,818,25000,28,1
118046.64,523,15000,15,1
37092.06,551,20000,18,1
23864.92,581,15000,0,1
41290.51,565,20000,36,0
33948.61,623,15000,33,0
31806.25,579,10000,28,1
52496.41,568,15000,26,0
57211.18,766,10000,29,0
26415.32,772,20000,5,1
25706.75,745,25000,35,1
30790.73,702,25000,38,1
9125.68,659,15000,1,1
14630.82,600,5000,13,1
82464.61,555,15000,7,0
97438.88,686,10000,2,0
31275.13,533,10000,34,0
51325.05,551,20000,26,0
43772.02,765,15000,33,0
230343.85,840,20000,27,0
71093.06,689,5000,30,0
33632.54,761,25000,16,1
20469.18,625,25000,18,1
13851.27,516,15000,10,1
41030.8,711,20000,8,1
23067.72,707,20000,29,1
15469.84,657,5000,5,1
24638.27,626,20000,13,1
18978.67,746,10000,30,1
99935.97,551,10000,10,0
61634.92,573,10000,4,1
36142.2,549,15000,30,0
88253.31,658,10000,1,0
38041.04,541,10000,38,0
21660.15,582,25000,16,1
90569.65,579,15000,37,0
50178.71,624,10000,35,0
19489.91,501,5000,2,1
32396.21,659,10000,28,0
21474.66,775,15000,32,1
15840.42,664,20000,13,1
63304.17,804,25000,37,0
114193.54,783,25000,28,0
15691.26,728,15000,22,1
50908.31,657,10000,16,1
24578.18,652,5000,10,0
27111.81,726,10000,27,0
25452.36,611,10000,6,1
21625.0,462,5000,39,0
37388.3,699,25000,7,1
22057.98,537,10000,28,1
42713.66,554,20000,24,1
35237.18,650,20000,6,1
31465.0,640,15000,21,1
21066.97,509,15000,8,1
25692.06,667,5000,10,0
57138.57,747,5000,33,0
49047.79,537,15000,26,1
20200.59,777,10000,21,1
38545.68,494,25000,2,1
57001.47,850,20000,39,1
13337.79,609,5000,7,1
50312.87,665,15000,5,1
24402.13,461,20000,24,1
51141.89,644,5000,1,1
22972.3,673,5000,15,1
12296.51,641,10000,20,1
13677.05,594,5000,14,0
37378.5,555,25000,33,1
42439.44,763,5000,19,1
21108.06,653,25000,30,1
53271.43,804,10000,14,0
13401.04,597,25000,27,1
34903.84,607,20000,5,1
17560.2,732,5000,2,1
24560.59,488,15000,37,1
37363.11,529,15000,22,0
21671.47,760,25000,2,1
28832.74,533,10000,7,1
66421.47,468,25000,1,0
25690.2,837,25000,6,1
59958.94,511,25000,16,1
18438.13,668,20000,6,1
49905.3,657,20000,32,0
86244.47,369,25000,35,0
8242.12,623,10000,3,1
22513.33,695,5000,15,1
51340.91,685,15000,20,0
32150.16,740,20000,17,1
45373.68,611,5000,27,1
25275.96,721,20000,15,1
38252.11,581,20000,21,1
33077.01,509,20000,5,1
73179.4,520,25000,29,1
42304.66,504,25000,27,1
44469.62,751,20000,16,1
28363.94,499,20000,35,1
27103.99,677,15000,11,1
28014.15,623,5000,39,0
46012.63,640,5000,11,1
28209.37,786,10000,35,0
43211.63,606,10000,39,0
126151.71,711,10000,28,0
61247.29,654,25000,1,1
29863.31,635,25000,28,1
74662.14,850,15000,29,0
28428.71,506,25000,35,1
10690.66,779,10000,24,1
19833.91,716,20000,20,1
11819.72,602,10000,21,1
29410.06,813,15000,9,1
36719.05,465,20000,30,1
99296.18,598,25000,8,0
44185.7,529,20000,38,0
31841.94,691,15000,33,1
59733.21,539,25000,38,0
9636.55,693,5000,22,1
41829.99,631,10000,11,1
57671.54,602,10000,6,1
14955.71,689,15000,31,1
72131.95,623,15000,18,1
44493.48,541,10000,21,0
28305.95,850,20000,15,1
53086.03,601,5000,7,0
141834.44,428,5000,29,0
40502.53,566,15000,5,0
42147.57,523,15000,1,1
27567.24,733,20000,33,0
21809.34,682,15000,28,1
59766.55,690,5000,39,0
21727.84,613,10000,19,1
37908.85,622,5000,2,1
27266.27,613,20000,34,1
48406.43,642,10000,7,0
44364.61,734,10000,11,0
67678.51,684,5000,31,0
26741.99,700,10000,28,0
30886.52,700,10000,20,0
20185.94,738,15000,2,1
27817.6,679,10000,37,0
45541.55,686,20000,26,1
57193.36,769,10000,2,0
20883.21,583,15000,0,1
61191.5,564,25000,19,1
81910.52,531,25000,6,1
46539.7,668,20000,0,1
111980.22,465,20000,9,0
22827.62,696,10000,11,1
17209.33,639,10000,3,1
12491.05,763,25000,6,1
89109.98,583,25000,9,1
53777.98,630,5000,21,0
35124.33,762,25000,24,1
42958.13,788,25000,28,0
18484.85,582,20000,38,1
157542.6,668,5000,14,0
39243.17,679,5000,18,1
38779.11,687,10000,38,1
56131.92,624,10000,17,0
48465.41,778,5000,2,0
41536.61,461,5000,5,0
22600.23,608,10000,21,1
48188.76,695,20000,30,1
112332.07,696,20000,20,0
81409.89,785,20000,7,0
94458.13,770,20000,0,1
26722.75,621,10000,2,1
20055.07,780,15000,28,1
33675.57,579,25000,5,1
37550.24,743,25000,32,0
70018.51,831,25000,17,0
13154.53,771,25000,0,1
90919.54,661,10000,21,1
33030.78,617,15000,30,0
28109.74,497,10000,22,1
19786.15,681,15000,7,1
13454.73,538,10000,28,1
59510.16,571,5000,18,0
37948.71,531,15000,15,1
16747.82,604,25000,18,1
16696.47,647,15000,36,1
29688.92,677,20000,21,1
98855.35,590,15000,18,0
31077.68,757,20000,3,1
14736.96,629,20000,4,1
31336.98,571,5000,4,0
30833.77,673,15000,24,1
7200.23,846,5000,23,1
35151.52,684,25000,0,1
31616.65,614,15000,27,1
55145.14,497,10000,20,0
110125.25,628,10000,18,0
71391.85,673,10000,22,1
30904.8,611,20000,13,0
18696.37,483,10000,5,1
170078.59,565,25000,31,1
37629.03,795,15000,31,1
36620.28,793,15000,7,1
35793.62,561,20000,36,1
40898.59,717,20000,21,0
33302.37,532,20000,7,1
25740.03,790,25000,37,1
26157.33,675,15000,9,1
35608.8,745,5000,2,0
26211.28,478,20000,12,1
23677.78,718,10000,38,1
38710.19,649,5000,29,0
31163.84,735,5000,3,1
89535.98,741,20000,5,1
7401.35,657,10000,15,1
69905.81,590,20000,21,1
76699.55,728,20000,26,0
10466.82,644,10000,20,1
29566.21,563,5000,28,0
29060.51,558,5000,0,1
15607.28,502,10000,29,0
22772.52,599,5000,23,1
18650.99,760,25000,12,1
103918.51,668,20000,29,0
63666.07,597,25000,25,0
77880.67,730,25000,33,0
55994.19,567,25000,19,1
18445.37,660,15000,5,1
26510.28,632,15000,8,1
48709.27,728,25000,36,0
17443.52,492,20000,36,1
55703.54,565,25000,15,1
31439.01,486,25000,3,1
29001.64,624,15000,31,0
55635.46,771,25000,19,1
47408.56,599,20000,28,1
29243.73,599,20000,30,0
72809.22,737,25000,16,0
18984.19,757,20000,24,1
52552.15,641,25000,15,0
51837.07,718,15000,19,1
30160.01,542,25000,9,1
44164.64,788,5000,22,0
17142.77,850,15000,32,1
63222.54,702,20000,12,0
32502.06,442,20000,24,1
26538.88,594,15000,36,0
68145.85,711,5000,35,0
23798.88,608,15000,23,1
15598.39,777,10000,5,1
14271.54,709,5000,14,0
52240.12,579,15000,33,0
16843.88,653,10000,3,0
104075.98,561,25000,13,0
10413.33,632,5000,3,1
100496.06,595,25000,27,0
41217.18,767,10000,28,0
34268.17,850,20000,17,1
26187.79,507,20000,19,1
46142.13,458,20000,31,1
35504.66,625,25000,7,0
70402.29,498,5000,12,1
38891.72,655,25000,39,0
39742.68,725,25000,8,0
29197.33,799,20000,39,1
35095.66,670,25000,32,1
43681.55,631,10000,11,1
13015.54,452,15000,36,1
16172.84,653,15000,24,1
56724.33,657,15000,24,0
40236.08,714,20000,15,1
32519.98,579,20000,15,1
36719.39,606,15000,38,1
44736.68,502,5000,34,0
26268.98,421,15000,22,1
22765.86,539,25000,7,1
40843.67,493,15000,2,1
20190.68,684,15000,23,0
46395.22,598,5000,21,0
13074.9,596,20000,13,1
67338.9,552,20000,21,0
48221.41,327,25000,33,1
42345.52,801,15000,35,0
65487.5,550,10000,30,0
98645.18,609,25000,20,0
66744.16,505,20000,4,1
12033.81,747,5000,18,1
16852.49,664,20000,20,1
24961.97,567,20000,1,1
36888.48,611,5000,2,0
49542.96,818,15000,29,0
23495.25,643,15000,33,1
40621.8,632,20000,24,0
23081.12,556,25000,34,1
25161.98,461,10000,28,0
15615.25,634,25000,11,1
20869.83,683,25000,22,1
16138.92,760,20000,27,1
20220.98,425,20000,16,1
68335.53,537,10000,15,0
20544.75,592,10000,8,0
176209.56,650,10000,2,0
48824.66,635,20000,21,1
40574.77,638,20000,30,0
21698.22,691,25000,13,1
55281.08,560,20000,2,1
25709.54,743,15000,37,0
39073.74,693,15000,22,1
168729.26,618,10000,20,1
34281.6,810,20000,23,0
72371.22,806,15000,31,0
23815.55,743,25000,4,1
35561.07,348,5000,32,1
105080.33,808,25000,18,0
24929.82,729,5000,33,0
107739.24,850,25000,2,1
55528.47,774,15000,38,0
25913.52,808,20000,27,1
53074.12,738,5000,10,1
65090.42,785,20000,9,0
52737.71,849,20000,39,0
14155.59,672,15000,1,1
23475.62,493,10000,38,1
31303.61,619,10000,26,0
34729.33,689,5000,8,0
52701.71,657,15000,38,0
40401.44,525,20000,0,1
16297.93,487,25000,32,1
45620.79,576,25000,37,0
52383.74,731,5000,32,0
50811.31,808,5000,2,0
69457.37,742,5000,31,0
59895.3,756,15000,12,0
47834.77,642,25000,20,1
34818.38,476,15000,3,1
13405.54,604,15000,16,1
46993.8,624,20000,3,1
41134.92,600,15000,19,1
42742.43,655,15000,11,1
16881.12,694,20000,25,1
18984.27,735,10000,35,1
68315.48,622,20000,15,0
35463.77,460,5000,6,1
54660.71,602,10000,32,0
36937.81,654,25000,1,1
36969.69,772,15000,32,0
63765.67,593,10000,13,0
26645.44,701,25000,19,1
38471.48,679,20000,36,1
27519.08,654,20000,26,1
27981.6,743,5000,20,0
30166.78,584,5000,1,1
41493.01,592,10000,15,0
27248.42,649,15000,18,1
77145.9,586,20000,3,1
21231.38,701,10000,9,1
32463.67,579,10000,21,1
27893.85,673,10000,11,0
86524.83,640,5000,1,0
40861.06,671,20000,1,1
67447.63,604,5000,33,0
14893.26,616,5000,17,1
42626.45,660,10000,15,0
61931.14,670,25000,18,1
38153.41,650,25000,24,0
68822.65,821,25000,29,1
26625.56,551,10000,5,0
84593.14,644,15000,26,0
144255.15,493,20000,14,1
29210.89,687,10000,30,0
27797.42,538,10000,21,0
86858.07,622,5000,11,0
93689.68,613,25000,9,1
26536.7,678,10000,20,1
28222.87,595,15000,30,1
30666.6,590,20000,35,1
16209.13,794,15000,9,1
20927.28,678,10000,18,0
19880.92,594,10000,22,1
22909.83,625,5000,9,1
35567.55,815,15000,26,0
41794.87,626,5000,1,1
92069.62,581,15000,10,0
19950.06,582,25000,7,1
65551.64,595,25000,18,1
31939.75,591,15000,15,0
35253.56,522,5000,3,0
54442.03,538,25000,13,1
18515.56,567,10000,21,1
45681.37,709,20000,16,1
40129.67,612,5000,25,0
48799.28,629,15000,34,1
43195.91,777,20000,35,0
158447.74,780,20000,29,1
24769.19,622,10000,20,1
26407.46,587,5000,19,1
24987.12,564,20000,25,1
26022.42,719,5000,11,1
24774.44,630,10000,7,0
74117.72,611,15000,34,1
85161.31,569,20000,28,1
25785.1,573,20000,6,1
22039.39,682,20000,9,1
48187.23,518,5000,38,0
26073.28,749,20000,19,1
53090.81,597,5000,27,0
41017.49,635,25000,13,1
14625.96,516,25000,11,1
91904.3,649,5000,7,0
106673.35,617,25000,6,1
25142.8,645,10000,4,1
28778.36,797,10000,0,1
43110.39,668,25000,8,1
44385.76,571,15000,17,0
53912.98,579,5000,9,0
121312.21,710,25000,0,1
32657.56,780,5000,19,0
22494.4,678,25000,28,1
15873.53,719,10000,1,1
23422.26,711,15000,25,1
35600.82,792,5000,10,0
106588.91,455,15000,24,1
26620.4,717,10000,33,0
41534.21,748,20000,0,1
35959.42,516,20000,30,1
74090.01,561,5000,37,0
165406.19,565,10000,21,0
26409.49,577,5000,1,1
,602,5000,0,0
67947.9,674,5000,23,0
54673.53,737,15000,35,0
109976.77,758,25000,35,1
51552.55,566,10000,33,0
29273.11,566,15000,8,1
51761.03,782,25000,11,1
70630.84,715,5000,19,1
59414.25,658,20000,3,0
49235.22,697,15000,14,1
68871.99,647,10000,3,0
73245.89,702,10000,4,1
83224.36,616,25000,9,0
53595.8,677,15000,39,0
32850.73,499,5000,35,1
39657.22,581,25000,34,0
74899.72,582,10000,0,1
22244.24,613,15000,17,1
45306.42,557,20000,30,1
28681.19,597,5000,5,1
36947.26,499,10000,5,1
78203.61,705,15000,18,0
40727.53,642,20000,31,1
37341.55,479,10000,29,0
16059.99,567,20000,25,1
56826.16,684,10000,2,0
53492.17,596,25000,32,0
132979.84,580,25000,30,1
30192.02,643,25000,19,1
41418.8,684,15000,3,1
42177.0,506,25000,31,1
93570.64,705,15000,17,0
34297.33,570,5000,9,1
42933.72,648,25000,21,1
52299.28,646,15000,16,0
40617.95,597,10000,3,0
27781.9,548,15000,36,1
40800.68,621,15000,6,1
69160.08,813,10000,7,1
19615.8,514,15000,0,1
39331.53,819,10000,7,0
23859.26,624,20000,18,1
74386.37,654,25000,16,1
14560.79,541,5000,8,0
25968.69,573,15000,15,0
45539.12,600,10000,36,0
92903.3,545,25000,26,0
34910.74,629,15000,1,0
26026.75,609,25000,35,1
112273.62,835,20000,11,0
15232.58,533,15000,34,1
9708.11,660,10000,30,1
47287.85,675,20000,18,0
26870.05,543,15000,25,1
19678.07,719,25000,35,1
55548.62,610,20000,3,1
42035.95,401,10000,30,1
25888.47,716,15000,12,0
16845.14,538,25000,38,1
61296.28,545,25000,3,1
53643.77,719,20000,39,0
34217.57,615,15000,12,1
109972.12,742,25000,8,0
19109.66,771,20000,1,1
14540.38,586,5000,34,0
23977.12,729,25000,11,1
35335.68,574,20000,16,1
42024.32,850,5000,3,0
31421.84,581,20000,13,1
44856.92,753,25000,20,1
17138.39,734,5000,7,1
86358.18,682,20000,32,0
34568.89,583,15000,27,0
70995.91,635,5000,2,1
44606.52,435,20000,13,1
47765.17,672,15000,18,0
51116.38,685,5000,5,0
47506.66,663,20000,35,0
53403.61,353,25000,19,0
80619.15,523,5000,0,1
40860.24,575,5000,9,1
55570.19,679,15000,12,1
34411.93,679,20000,11,1
86169.39,633,25000,10,1
24201.37,714,15000,35,1
106997.88,547,5000,16,0
35450.95,711,15000,28,1
15390.95,697,15000,2,1
39216.88,688,15000,28,0
24133.81,632,5000,9,0
60137.33,833,10000,18,0
24548.98,699,15000,3,1
27786.07,553,10000,37,1
11687.5,675,25000,11,1
27684.17,725,25000,30,1
8481.75,591,25000,1,1
14039.9,759,20000,0,1
57311.05,688,5000,16,0
58190.66,416,10000,24,0
46876.63,680,20000,4,1
20329.22,609,10000,13,0
35290.64,704,5000,9,1
36237.09,744,15000,20,0
18123.8,670,20000,24,1
89504.03,817,5000,34,0
61476.94,632,20000,2,0
31806.36,712,25000,17,1
36906.08,730,20000,35,1
41152.08,640,15000,38,0
10667.52,728,15000,32,1
31310.02,591,10000,16,0
24120.31,608,20000,39,1
19911.01,519,25000,5,1
30679.19,674,15000,33,0
106789.18,683,10000,25,1
